Dataset	Mappers	Reducers	Execution Time
data-pr/input-large.txt	5	8	0.17668
data-pr/input-large.txt	5	9	0.1767
data-pr/input-large.txt	5	10	0.17678
data-pr/input-large.txt	6	1	0.17664
data-pr/input-large.txt	6	2	0.17787999999999998
data-pr/input-large.txt	6	3	0.1763
data-pr/input-large.txt	6	4	0.17634
data-pr/input-large.txt	6	5	0.17650000000000002
data-pr/input-large.txt	6	6	0.1779
data-pr/input-large.txt	6	7	0.17822
data-pr/input-large.txt	6	8	0.17706
data-pr/input-large.txt	6	9	0.1789
data-pr/input-large.txt	6	10	0.17748
data-pr/input-large.txt	7	1	0.17908
data-pr/input-large.txt	7	2	0.1774
data-pr/input-large.txt	7	3	0.17794000000000001
data-pr/input-large.txt	7	4	0.17856
data-pr/input-large.txt	7	5	0.17778
data-pr/input-large.txt	7	6	0.17886
data-pr/input-large.txt	7	7	0.17778
data-pr/input-large.txt	7	8	0.17868
data-pr/input-large.txt	7	9	0.17806
data-pr/input-large.txt	7	10	0.17798
data-pr/input-large.txt	8	1	0.17864
data-pr/input-large.txt	8	2	0.17802
data-pr/input-large.txt	8	3	0.178
data-pr/input-large.txt	8	4	0.17848
data-pr/input-large.txt	8	5	0.1781
data-pr/input-large.txt	8	6	0.17792
data-pr/input-large.txt	8	7	0.17824
data-pr/input-large.txt	8	8	0.1782
data-pr/input-large.txt	8	9	0.17776
data-pr/input-large.txt	8	10	0.17831999999999998
data-pr/input-large.txt	9	1	0.1778
data-pr/input-large.txt	9	2	0.17798
data-pr/input-large.txt	9	3	0.1781
data-pr/input-large.txt	9	4	0.1786
data-pr/input-large.txt	9	5	0.1783
data-pr/input-large.txt	9	6	0.17844
data-pr/input-large.txt	9	7	0.17842
data-pr/input-large.txt	9	8	0.17814000000000002
data-pr/input-large.txt	9	9	0.17809999999999998
data-pr/input-large.txt	9	10	0.179
data-pr/input-large.txt	10	1	0.17912
data-pr/input-large.txt	10	2	0.18066
data-pr/input-large.txt	10	3	0.17758000000000002
data-pr/input-large.txt	10	4	0.17836
data-pr/input-large.txt	10	5	0.17686
data-pr/input-large.txt	10	6	0.17673999999999998
data-pr/input-large.txt	10	7	0.1779
data-pr/input-large.txt	10	8	0.17702
data-pr/input-large.txt	10	9	0.17629999999999998
data-pr/input-large.txt	10	10	0.17678
data-pr/input-mini.txt	1	1	0.17762
data-pr/input-mini.txt	1	2	0.17782
data-pr/input-mini.txt	1	3	0.17753999999999998
data-pr/input-mini.txt	1	4	0.17724
data-pr/input-mini.txt	1	5	0.17642
data-pr/input-mini.txt	1	6	0.17744
data-pr/input-mini.txt	1	7	0.17748
data-pr/input-mini.txt	1	8	0.1787
data-pr/input-mini.txt	1	9	0.17682
data-pr/input-mini.txt	1	10	0.17636000000000002
data-pr/input-mini.txt	2	1	0.17628
data-pr/input-mini.txt	2	2	0.17673999999999998
data-pr/input-mini.txt	2	3	0.17682
data-pr/input-mini.txt	2	4	0.17618
data-pr/input-mini.txt	2	5	0.1768
data-pr/input-mini.txt	2	6	0.17809999999999998
data-pr/input-mini.txt	2	7	0.1785
data-pr/input-mini.txt	2	8	0.17748
data-pr/input-mini.txt	2	9	0.17862
data-pr/input-mini.txt	2	10	0.17709999999999998
data-pr/input-mini.txt	3	1	0.17850000000000002
data-pr/input-mini.txt	3	2	0.17758000000000002
data-pr/input-mini.txt	3	3	0.17768
data-pr/input-mini.txt	3	4	0.17748
data-pr/input-mini.txt	3	5	0.17722
data-pr/input-mini.txt	3	6	0.17826
data-pr/input-mini.txt	3	7	0.17882
data-pr/input-mini.txt	3	8	0.17742
data-pr/input-mini.txt	3	9	0.17834
data-pr/input-mini.txt	3	10	0.17772000000000002
data-pr/input-mini.txt	4	1	0.17875999999999997
data-pr/input-mini.txt	4	2	0.1772
data-pr/input-mini.txt	4	3	0.17822
data-pr/input-mini.txt	4	4	0.17818
data-pr/input-mini.txt	4	5	0.17768
data-pr/input-mini.txt	4	6	0.17816
data-pr/input-mini.txt	4	7	0.1787
data-pr/input-mini.txt	4	8	0.17795999999999998
data-pr/input-mini.txt	4	9	0.1815
data-pr/input-mini.txt	4	10	0.18098
data-pr/input-mini.txt	5	1	0.17786
data-pr/input-mini.txt	5	2	0.17792
data-pr/input-mini.txt	5	3	0.17736000000000002
data-pr/input-mini.txt	5	4	0.17724
data-pr/input-mini.txt	5	5	0.17751999999999998
data-pr/input-mini.txt	5	6	0.17672000000000002
data-pr/input-mini.txt	5	7	0.17734
data-pr/input-mini.txt	5	8	0.17764
